	target	target_accession	query	query_accesion	full_evalue	full_score	full_bias	best_evalue	best_score	best_bias	exp	reg	clu	ov	env	dom	rep	inc	description	taxid	organism	id	gi	db	status	length	tax_id	superkingdom	phylum	class	order	family	genus	species	cohort	forma	infraclass	infraorder	kingdom	no rank	no rank1	no rank10	no rank11	no rank12	no rank13	no rank14	no rank15	no rank16	no rank17	no rank18	no rank19	no rank2	no rank20	no rank21	no rank22	no rank3	no rank4	no rank5	no rank6	no rank7	no rank8	no rank9	parvorder	species group	species subgroup	subclass	subfamily	subgenus	subkingdom	suborder	subphylum	subspecies	subtribe	superclass	superfamily	superorder	superphylum	tribe	varietas
1483250	APH3''	RF0172	YP_006956020.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956020.1	410652729	bacteria|complete|plasmid	PROVISIONAL	267																																																					
1483251	APH6	RF0034	YP_006956021.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956021.1	410652730	bacteria|complete|plasmid	PROVISIONAL	278																																																					
1483252	APH3'	RF0173	YP_006956129.1	-	7.099999999999997e-84	274.4	0.0	8.4e-84	274.2	0.0	1.0	1.0	0	0	1	1	1	1	Broad-spectrum Aminoglycoside Phosphotransferase	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956129.1	410652838	bacteria|complete|plasmid	PROVISIONAL	264																																																					
1483253	APH6	RF0034	YP_006956131.1	-	4.3999999999999996e-116	380.1	2.7	5.299999999999999e-116	379.8	2.7	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956131.1	410652840	bacteria|complete|plasmid	PROVISIONAL	280																																																					
1483254	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_006956224.1	-	2.6999999999999992e-238	782.9	2.2	3.099999999999998e-238	782.7	2.2	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956224.1	410652934	bacteria|complete|plasmid	PROVISIONAL	381																																																					
1483255	Chlor_Efflux_Pump	RF0051	YP_006956307.1	-	6.0999999999999985e-170	558.5	48.6	6.799999999999999e-170	558.3	48.6	1.0	1.0	0	0	1	1	1	1	chloramphenicol efflux pump [ARO:3001212]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956307.1	410653018	bacteria|complete|plasmid	PROVISIONAL	404																																																					
1483256	TetA	RF0127	YP_006956309.1	-	2.5999999999999995e-212	697.7	24.7	2.8999999999999984e-212	697.5	24.7	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956309.1	410653020	bacteria|complete|plasmid	PROVISIONAL	399																																																					
1483257	APH6	RF0034	YP_006956312.1	-	4.899999999999999e-149	488.3	1.7	5.3999999999999985e-149	488.1	1.7	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956312.1	410653023	bacteria|complete|plasmid	PROVISIONAL	276																																																					
1483258	APH3''	RF0172	YP_006956313.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956313.1	410653024	bacteria|complete|plasmid	PROVISIONAL	267																																																					
1483259	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_006956357.1	-	3.599999999999998e-238	782.5	2.2	4.0999999999999974e-238	782.3	2.2	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956357.1	410653068	bacteria|complete|plasmid	PROVISIONAL	409																																																					
1483260	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_006956359.1	-	3.599999999999998e-238	782.5	2.2	4.0999999999999974e-238	782.3	2.2	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956359.1	410653070	bacteria|complete|plasmid	PROVISIONAL	409																																																					
1483261	TEM	RF0126	YP_006956377.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956377.1	410653088	bacteria|complete|plasmid	PROVISIONAL	286																																																					
1483262	Chlor_Efflux_Pump	RF0051	YP_006956383.1	-	4.799999999999998e-162	532.5	39.1	5.499999999999999e-162	532.3	39.1	1.0	1.0	0	0	1	1	1	1	chloramphenicol efflux pump [ARO:3001212]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956383.1	410653094	bacteria|complete|plasmid	PROVISIONAL	380																																																					
1483263	ANT2	RF0026	YP_006956386.1	-	2.3999999999999995e-168	550.5	1.5	2.5999999999999996e-168	550.4	1.5	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT2) [ARO:3000230]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956386.1	410653097	bacteria|complete|plasmid	PROVISIONAL	226																																																					
1483264	APH3	RF0033	YP_006956547.1	-	9.399999999999997e-146	477.0	0.0	1.0999999999999996e-145	476.8	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956547.1	410653259	bacteria|complete|plasmid	PROVISIONAL	271																																																					
1483265	APH6	RF0034	YP_006956548.1	-	4.899999999999999e-149	488.3	1.7	5.3999999999999985e-149	488.1	1.7	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956548.1	410653260	bacteria|complete|plasmid	PROVISIONAL	276																																																					
1483266	APH3''	RF0172	YP_006956549.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956549.1	410653261	bacteria|complete|plasmid	PROVISIONAL	267																																																					
1483267	TetA-B	RF0128	YP_006956556.1	-	1.4999999999999991e-277	912.7	30.6	1.5999999999999991e-277	912.6	30.6	1.0	1.0	0	0	1	1	1	1	tetA(B): tetracycline resistance MFS efflux pump [ARO:3000165]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956556.1	410653268	bacteria|complete|plasmid	PROVISIONAL	401																																																					
1483268	Chlor_Efflux_Pump	RF0051	YP_006956622.1	-	6.0999999999999985e-170	558.5	48.6	6.799999999999999e-170	558.3	48.6	1.0	1.0	0	0	1	1	1	1	chloramphenicol efflux pump [ARO:3001212]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956622.1	410653335	bacteria|complete|plasmid	PROVISIONAL	404																																																					
1483269	TetA	RF0127	YP_006956623.1	-	2.5999999999999995e-212	697.7	24.7	2.8999999999999984e-212	697.5	24.7	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956623.1	410653336	bacteria|complete|plasmid	PROVISIONAL	399																																																					
1483270	APH6	RF0034	YP_006956626.1	-	4.899999999999999e-149	488.3	1.7	5.3999999999999985e-149	488.1	1.7	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956626.1	410653339	bacteria|complete|plasmid	PROVISIONAL	276																																																					
1483271	APH3''	RF0172	YP_006956627.1	-	3.399999999999999e-161	527.7	0.1	3.7999999999999986e-161	527.6	0.1	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956627.1	410653340	bacteria|complete|plasmid	PROVISIONAL	267																																																					
1483272	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_006956671.1	-	3.599999999999998e-238	782.5	2.2	4.0999999999999974e-238	782.3	2.2	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956671.1	410653384	bacteria|complete|plasmid	PROVISIONAL	409																																																					
1483273	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_006956673.1	-	3.599999999999998e-238	782.5	2.2	4.0999999999999974e-238	782.3	2.2	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956673.1	410653386	bacteria|complete|plasmid	PROVISIONAL	409																																																					
1483274	TEM	RF0126	YP_006956691.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956691.1	410653404	bacteria|complete|plasmid	PROVISIONAL	286																																																					
1483275	Chlor_Efflux_Pump	RF0051	YP_006956697.1	-	4.1999999999999985e-181	595.2	40.3	4.899999999999999e-181	595.0	40.3	1.0	1.0	0	0	1	1	1	1	chloramphenicol efflux pump [ARO:3001212]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956697.1	410653410	bacteria|complete|plasmid	PROVISIONAL	419																																																					
1483276	ANT2	RF0026	YP_006956699.1	-	2.3999999999999995e-168	550.5	1.5	2.5999999999999996e-168	550.4	1.5	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT2) [ARO:3000230]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956699.1	410653412	bacteria|complete|plasmid	PROVISIONAL	226																																																					
1483277	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_006956956.1	-	2.6999999999999992e-238	782.9	2.2	3.099999999999998e-238	782.7	2.2	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956956.1	410653667	bacteria|complete|plasmid	PROVISIONAL	381																																																					
1483278	APH3''	RF0172	YP_006956995.1	-	1.0999999999999999e-120	394.9	0.2	1.1999999999999996e-120	394.8	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956995.1	410653706	bacteria|complete|plasmid	PROVISIONAL	200																																																					
1483279	APH6	RF0034	YP_006956996.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956996.1	410653707	bacteria|complete|plasmid	PROVISIONAL	278																																																					
1483280	TetA	RF0127	YP_006956999.1	-	2.5999999999999995e-212	697.7	24.7	2.8999999999999984e-212	697.5	24.7	1.0	1.0	0	0	1	1	1	1	tetA: tetracycline resistance MFS efflux pump [ARO:3000165]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006956999.1	410653710	bacteria|complete|plasmid	PROVISIONAL	399																																																					
1483281	Chlor_Efflux_Pump	RF0051	YP_006957001.1	-	6.0999999999999985e-170	558.5	48.6	6.799999999999999e-170	558.3	48.6	1.0	1.0	0	0	1	1	1	1	chloramphenicol efflux pump [ARO:3001212]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006957001.1	410653712	bacteria|complete|plasmid	PROVISIONAL	404																																																					
1483282	AAC3	RF0002	YP_006957024.1	-	4.099999999999999e-90	294.5	0.0	5.9999999999999995e-90	294.0	0.0	1.2	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006957024.1	410653735	bacteria|complete|plasmid	PROVISIONAL	258																																																					
1483283	APH3	RF0033	YP_006957159.1	-	9.399999999999997e-146	477.0	0.0	1.0999999999999996e-145	476.8	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006957159.1	410653871	bacteria|complete|plasmid	PROVISIONAL	271																																																					
1483284	APH6	RF0034	YP_006957160.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006957160.1	410653872	bacteria|complete|plasmid	PROVISIONAL	278																																																					
1483285	APH3''	RF0172	YP_006957161.1	-	2.4999999999999994e-165	541.3	0.2	2.7999999999999994e-165	541.1	0.2	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006957161.1	410653873	bacteria|complete|plasmid	PROVISIONAL	267																																																					
1483286	TetA-B	RF0128	YP_006957169.1	-	1.4999999999999991e-277	912.7	30.6	1.5999999999999991e-277	912.6	30.6	1.0	1.0	0	0	1	1	1	1	tetA(B): tetracycline resistance MFS efflux pump [ARO:3000165]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006957169.1	410653881	bacteria|complete|plasmid	PROVISIONAL	401																																																					
1483287	AAC3	RF0002	YP_006957206.1	-	2.5999999999999997e-138	452.7	1.8	2.9999999999999995e-138	452.5	1.8	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC3) [ARO:3000322]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006957206.1	410653919	bacteria|complete|plasmid	PROVISIONAL	300																																																					
1483288	ANT3	RF0027	YP_006957207.1	-	8.099999999999997e-169	552.5	1.1	9.399999999999996e-169	552.3	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	611	Salmonella enterica subsp. enterica serovar Heidelberg	YP_006957207.1	410653920	bacteria|complete|plasmid	PROVISIONAL	313																																																					
1483289	TEM	RF0126	YP_006957362.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	48409	Salmonella enterica subsp. enterica serovar Virchow	YP_006957362.1	410654838	bacteria|complete|plasmid	PROVISIONAL	286																																																					
1483290	Qnr	RF0113	YP_006957367.1	-	6.1e-123	401.4	8.6	6.799999999999999e-123	401.3	8.6	1.0	1.0	0	0	1	1	1	1	quninolone resistance protein (Qnr): antibiotic target protection protein [ARO:3000419]	48409	Salmonella enterica subsp. enterica serovar Virchow	YP_006957367.1	410654842	bacteria|complete|plasmid	PROVISIONAL	218																																																					
1483291	AAC6-Ib	RF0005	YP_006957899.1	-	1.4999999999999996e-129	421.9	0.1	1.6999999999999997e-129	421.6	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	90371	Salmonella enterica subsp. enterica serovar Typhimurium	YP_006957899.1	410655108	bacteria|complete|plasmid	PROVISIONAL	225																																																					
1483292	ANT3	RF0027	YP_006957931.1	-	8.299999999999998e-169	552.5	1.1	9.299999999999997e-169	552.3	1.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	28144	Salmonella enterica subsp. enterica serovar Derby	YP_006957931.1	410654350	bacteria|complete|plasmid	PROVISIONAL	263																																																					
1483293	APH6	RF0034	YP_006957934.1	-	2.3999999999999993e-150	492.5	1.6	2.6999999999999996e-150	492.4	1.6	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000151]	28144	Salmonella enterica subsp. enterica serovar Derby	YP_006957934.1	410654353	bacteria|complete|plasmid	PROVISIONAL	278																																																					
1483294	APH3''	RF0172	YP_006957935.1	-	8.299999999999998e-165	539.6	0.1	9.299999999999997e-165	539.4	0.1	1.0	1.0	0	0	1	1	1	1	Streptomycin phosphotransferase	28144	Salmonella enterica subsp. enterica serovar Derby	YP_006957935.1	410654354	bacteria|complete|plasmid	PROVISIONAL	272																																																					
1483295	TEM	RF0126	YP_006957942.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	28144	Salmonella enterica subsp. enterica serovar Derby	YP_006957942.1	410654361	bacteria|complete|plasmid	PROVISIONAL	286																																																					
1525056	tet_MFS_efflux	RF0134	YP_006958133.1	-	4.199999999999999e-97	318.3	36.9	4.699999999999999e-97	318.2	36.9	1.0	1.0	0	0	1	1	1	1	tetracycline resistance MFS efflux pump: selectively pump out tetracycline or tetracycline derivatives [ARO:3000239]	1147034	Staphylococcus aureus PM1	YP_006958133.1	410656000	bacteria|complete|plasmid	PROVISIONAL	429																																																					
1525057	blaI	RF0042	YP_006958139.1	-	2.2999999999999997e-85	275.9	16.7	2.5999999999999995e-85	275.7	16.7	1.0	1.0	0	0	1	1	1	1	blaI: gene modulating beta-lactam resistance, regulates PC1 beta-lactamase (blaZ) [ARO:3000090]	1147034	Staphylococcus aureus PM1	YP_006958139.1	410656006	bacteria|complete|plasmid	PROVISIONAL	126																																																					
1525058	blaR1	RF0043	YP_006958140.1	-	0.0	1344.3	60.0	0.0	1344.1	60.0	1.0	1.0	0	0	1	1	1	1	blaR1: gene modulating beta-lactam resistance, regulates PC1 beta-lactamase (blaZ) [ARO:3000217]	1147034	Staphylococcus aureus PM1	YP_006958140.1	410656007	bacteria|complete|plasmid	PROVISIONAL	599																																																					
1525059	PC1	RF0111	YP_006958141.1	-	3.499999999999999e-105	344.1	10.2	3.8999999999999994e-105	344.0	10.2	1.0	1.0	0	0	1	1	1	1	PC1: blaZ beta-lactamase (class a) [ARO:3000621]	1147034	Staphylococcus aureus PM1	YP_006958141.1	410656008	bacteria|complete|plasmid	PROVISIONAL	164																																																					
1692100	KPC	RF0083	YP_006958624.1	-	3.8999999999999984e-209	685.6	4.0	4.3999999999999975e-209	685.4	4.0	1.0	1.0	0	0	1	1	1	1	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	573	Klebsiella pneumoniae	YP_006958624.1	410656031	bacteria|complete|plasmid	PROVISIONAL	293	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1692511	KPC	RF0083	YP_006958635.1	-	3.399999999999999e-209	685.8	3.6	3.7999999999999983e-209	685.6	3.6	1.0	1.0	0	0	1	1	1	1	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	573	Klebsiella pneumoniae	YP_006958635.1	410656041	bacteria|complete|plasmid	PROVISIONAL	293	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1692922	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_006958642.1	-	2.999999999999998e-237	779.5	2.0	3.3999999999999986e-237	779.3	2.0	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	573	Klebsiella pneumoniae	YP_006958642.1	410656051	bacteria|complete|plasmid	PROVISIONAL	381	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1693333	NDM-CcrA	RF0108	YP_006958736.1	-	3.6999999999999994e-111	363.3	0.1	4.199999999999998e-111	363.1	0.1	1.0	1.0	0	0	1	1	1	1	A grouping of related NDM and CcrA beta-lactamases [ARO:3000057;ARO:3000578]	573	Klebsiella pneumoniae	YP_006958736.1	410656145	bacteria|complete|plasmid	PROVISIONAL	270	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1693744	ArmA_Rmt	RF0174	YP_006958738.1	-	3.0999999999999994e-108	353.8	0.0	3.6e-108	353.6	0.0	1.0	1.0	0	0	1	1	1	1	16S rRNA methyltransferase providing aminoglycoside resistance	573	Klebsiella pneumoniae	YP_006958738.1	410656147	bacteria|complete|plasmid	PROVISIONAL	281	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1694155	Chlor_Efflux_Pump	RF0051	YP_006958742.1	-	2.3999999999999995e-168	553.2	39.3	2.7999999999999993e-168	553.0	39.3	1.0	1.0	0	0	1	1	1	1	chloramphenicol efflux pump [ARO:3001212]	573	Klebsiella pneumoniae	YP_006958742.1	410656151	bacteria|complete|plasmid	PROVISIONAL	390	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1694566	ANT3	RF0027	YP_006958743.1	-	4.3999999999999984e-169	553.4	1.2	4.899999999999998e-169	553.2	1.2	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Nucleotidyltransferase (ANT3) [ARO:3000232]	573	Klebsiella pneumoniae	YP_006958743.1	410656152	bacteria|complete|plasmid	PROVISIONAL	263	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1694977	ClassD	RF0056	YP_006958782.1	-	4.899999999999998e-108	353.1	2.8	5.3999999999999986e-108	352.9	2.8	1.0	1.0	0	0	1	1	1	1	Class D beta-lactamases [ARO:3000075;ARO:3000017]	573	Klebsiella pneumoniae	YP_006958782.1	410656191	bacteria|complete|plasmid	PROVISIONAL	265	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1695388	KPC	RF0083	YP_006958855.1	-	3.8999999999999984e-209	685.6	4.0	4.3999999999999975e-209	685.4	4.0	1.0	1.0	0	0	1	1	1	1	Klebsiella pneumoniae carbapenem resistant (KPC) beta-lactamases (class a) [ARO:3000059]	573	Klebsiella pneumoniae	YP_006958855.1	410656266	bacteria|complete|plasmid	PROVISIONAL	293	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1695799	TEM	RF0126	YP_006958954.1	-	1.7999999999999995e-205	673.4	0.0	1.999999999999999e-205	673.2	0.0	1.0	1.0	0	0	1	1	1	1	TEM beta-lactamase (class a) [ARO:3000014]	573	Klebsiella pneumoniae	YP_006958954.1	410656368	bacteria|complete|plasmid	PROVISIONAL	286	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1696210	APH3	RF0033	YP_006958956.1	-	1.1999999999999996e-146	479.9	0.0	1.3e-146	479.8	0.0	1.0	1.0	0	0	1	1	1	1	aminoglycoside phosphotransferase (APH3) [ARO:3000126]	573	Klebsiella pneumoniae	YP_006958956.1	410656367	bacteria|complete|plasmid	PROVISIONAL	271	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1696621	AAC6-Ib	RF0005	YP_006958960.1	-	4.8999999999999984e-133	433.2	0.1	5.599999999999999e-133	433.0	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	573	Klebsiella pneumoniae	YP_006958960.1	410656372	bacteria|complete|plasmid	PROVISIONAL	201	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1697032	SHV-LEN	RF0119	YP_006959014.1	-	5.899999999999998e-204	668.4	2.4	6.599999999999997e-204	668.2	2.4	1.0	1.0	0	0	1	1	1	1	A grouping of the related SHV and LEN beta-lactamases (class a) [ARO:3000096]	573	Klebsiella pneumoniae	YP_006959014.1	410656427	bacteria|complete|plasmid	PROVISIONAL	286	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1697443	CMY-LAT-MOX-ACT-MIR-FOX	RF0057	YP_006959098.1	-	3.9999999999999983e-237	779.1	2.0	4.499999999999999e-237	778.9	2.0	1.0	1.0	0	0	1	1	1	1	A grouping of the related CMY, LAT, MOX, ACT, MIR, and FOX beta-lactamases (class c) [ARO:3000072;ARO:3000058;ARO:3000067;ARO:3000084;ARO:3000069;ARO:3000083]	573	Klebsiella pneumoniae	YP_006959098.1	410655669	bacteria|complete|plasmid	PROVISIONAL	409	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1697854	AAC6-Ib	RF0005	YP_006959139.1	-	2.1999999999999993e-133	434.3	0.1	2.4999999999999996e-133	434.1	0.1	1.0	1.0	0	0	1	1	1	1	Aminoglycoside Acetyltransferase (AAC6-Ib) [ARO:3001206]	573	Klebsiella pneumoniae	YP_006959139.1	410655710	bacteria|complete|plasmid	PROVISIONAL	207	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
1698265	ArmA_Rmt	RF0174	YP_006959147.1	-	3.0999999999999994e-108	353.8	0.0	3.6e-108	353.6	0.0	1.0	1.0	0	0	1	1	1	1	16S rRNA methyltransferase providing aminoglycoside resistance	573	Klebsiella pneumoniae	YP_006959147.1	410655718	bacteria|complete|plasmid	PROVISIONAL	281	573.0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae						cellular organisms																																							
